city_name,country
Abu Dhabi,United Arab Emirates
Atlanta,USA
Bangkok,Thailand
Beijing,China
Busan,South Korea
Chicago,USA
Chongqing,China
Dalian,China
Dubai,United Arab Emirates
Gold Coast,Australia
Guangzhou,China
Hanoi,Vietnam
Hong Kong,China
Houston,USA
Incheon,South Korea
Jiangyin,China
Jinan,China
Kaohsiung,Taiwan
Kuala Lumpur,Malaysia
Kuwait City,Kuwait
Liuzhou,China
London,Great Britain
Los Angeles,USA
Mecca,Saudi Arabia
Moscow,Russia
Nanchang,China
Nanjing,China
New York City,USA
Riyadh,Saudi Arabia
Shanghai,China
Shenyang,China
Shenzhen,China
Suzhou,China
Taipei,Taiwan
Tianjin,China
Wenzhou,China
Wuhan,China
Wuxi,China
