rank,name,city,country,heightM,heightF,floors,completedYr,materials,use,,,,
1,Burj Khalifa,Dubai,United Arab Emirates,828,2717,163,2010,steel/concrete,office / residential / hotel,,,,
2,Shanghai Tower,Shanghai,China,632,2073,128,2015,composite,hotel / office,,,,1
3,Makkah Royal Clock Tower,Mecca,Saudi Arabia,601,1972,120,2012,steel/concrete,other / hotel,,,,
4,One World Trade Center,New York City,USA,541,1776,94,2014,composite,office,,,,
5,TAIPEI 101,Taipei,Taiwan,508,1667,101,2004,composite,office,,,,
6,Shanghai World Financial Center,Shanghai,China,492,1614,101,2008,composite,hotel / office,,,,
7,International Commerce Centre,Hong Kong,China,484,1588,108,2010,composite,hotel / office,,,,
8,Petronas Twin Tower 1,Kuala Lumpur,Malaysia,452,1483,88,1998,composite,office,,,,
8,Petronas Twin Tower 2,Kuala Lumpur,Malaysia,452,1483,88,1998,composite,office,,,,
10,Zifeng Tower,Nanjing,China,450,1476,66,2010,composite,hotel / office,,,,
11,Willis Tower,Chicago,USA,442,1451,108,1974,steel,office,,,,
12,KK100,Shenzhen,China,442,1449,100,2011,composite,hotel / office,,,,
13,Guangzhou International Finance Center,Guangzhou,China,439,1439,103,2010,composite,hotel / office,,,,
14,432 Park Avenue,New York City,USA,426,1396,85,2015,concrete,residential,,,,
15,Trump International Hotel & Tower,Chicago,USA,423,1389,98,2009,concrete,residential / hotel,,,,
16,Jin Mao Tower,Shanghai,China,421,1380,88,1999,composite,hotel / office,,,,
17,Princess Tower,Dubai,United Arab Emirates,413,1356,101,2012,steel/concrete,residential,,,,
18,Al Hamra Tower,Kuwait City,Kuwait,413,1354,80,2011,concrete,office,,,,
19,Two International Finance Centre,Hong Kong,China,412,1352,88,2003,composite,office,,,,
20,23 Marina,Dubai,United Arab Emirates,392,1287,88,2012,concrete,residential,,,,
21,CITIC Plaza,Guangzhou,China,390,1280,80,1996,concrete,office,,,,
22,Shun Hing Square,Shenzhen,China,384,1260,69,1996,composite,office,,,,
23,Eton Place Dalian Tower 1,Dalian,China,383,1257,80,2015,composite,hotel / office,,,,
24,Burj Mohammed Bin Rashid,Abu Dhabi•À_,United Arab Emirates,381,1251,88,2014,concrete,residential,,,,
25,Empire State Building,New York City,USA,381,1250,102,1931,steel,office,,,,
26,Elite Residence,Dubai,United Arab Emirates,381,1248,87,2012,concrete,residential,,,,
27,Central Plaza,Hong Kong,China,374,1227,78,1992,concrete,office,,,,
28,Bank of China Tower,Hong Kong,China,367,1205,72,1990,composite,office,,,,
29,Bank of America Tower,New York City,USA,366,1200,55,2009,composite,office,,,,
30,Almas Tower,Dubai,United Arab Emirates,360,1181,68,2008,concrete,office,,,,
31,JW Marriott Marquis Hotel Dubai Tower 1,Dubai,United Arab Emirates,355,1166,82,2012,concrete,hotel,,,,
31,JW Marriott Marquis Hotel Dubai Tower 2,Dubai,United Arab Emirates,355,1166,82,2013,concrete,hotel,,,,
33,Emirates Tower One,Dubai,United Arab Emirates,355,1163,54,2000,composite,office,,,,
34,OKO - Residential Tower,Moscow,Russia,354,1160,90,2015,concrete,residential / serviced apartments / hotel,,,,
35,The Torch,Dubai,United Arab Emirates,352,1155,86,2011,concrete,residential,,,,
36,Forum 66 Tower 1,Shenyang,China,351,1150,68,2015,composite,hotel / office,,,,
37,The Pinnacle,Guangzhou,China,350,1149,60,2012,concrete,office,,,,
